iterm,facet,domain,subject,lword
high-strength composite,phenomenon_object,Construction Materials,materials science,high-strength composite
honeycomb core,concept,Construction Materials,specialized materials and systems,honeycomb core
hygrothermal performance,concept,Construction Materials,material properties and characteristics,hygrothermal performance
impact strength,concept,Construction Materials,material properties and characteristics,impact strength
impact test,concept,Construction Materials,reliability engineering,impact test
interfacial bonding,concept,Construction Materials,material properties and characteristics,interfacial bonding
interlocking block,phenomenon_object,Construction Materials,building materials,interlocking block
lamellar structure,concept,Construction Materials,specialized materials and systems,lamellar structure
life prediction,concept,Construction Materials,material degradation and durability,life prediction
lifespan,concept,Construction Materials,material degradation and durability,lifespan
lightweight composite material,phenomenon_object,Construction Materials,materials science,lightweight composite material
lightweight material,phenomenon_object,Construction Materials,materials science,lightweight material
lime,phenomenon_object,Construction Materials,building materials,lime
limestone fine,phenomenon_object,Construction Materials,building materials,limestone fine
linear thermal transmittance,concept,Construction Materials,thermal systems,linear thermal transmittance
local material,phenomenon_object,Construction Materials,building materials,local material
magneto-rheological fluid,phenomenon_object,Construction Materials,materials science,magneto-rheological fluid
manufactured sand,phenomenon_object,Construction Materials,building materials,manufactured sand
marble,phenomenon_object,Construction Materials,building materials,marble
mass timber,phenomenon_object,Construction Materials,building materials,mass timber
material composition,concept,Construction Materials,material properties and characteristics,material composition
material intensity,concept,Construction Materials,material properties and characteristics,material intensity
material modelling,phenomenon_process,Construction Materials,analytical methods,material modelling
material property,concept,Construction Materials,material properties and characteristics,material property
material science,theoretical_framing,Construction Materials,materials science,material science
