iterm,facet,domain,New Subject,lword
data retrieval,phenomenon_process,Computer Science,data management,data retrieval
data acquisition system,phenomenon_object,Computer Science,data management,data acquisition system
lossless,concept,Computer Science,data management,lossless
lossy transmission lines,concept,Computer Science,data management,lossy transmission lines
data base management system,phenomenon_process,Computer Science,data management,data base management system
database,concept,Computer Science,data management,database
expert system,concept,Computer Science,data management,expert system
electronic data interchange,phenomenon_process,Computer Science,data management,electronic data interchange
information technology strategy,concept,Computer Science,data management,information technology strategy
real-time measurment,concept,Computer Science,data management,real-time measurment
real-time tracking,concept,Computer Science,data management,real-time tracking
data fusion,analytical_technique,Computer Science,data science,data fusion
fuzzy logic,analytical_technique,Computer Science,data science,fuzzy logic
fuzzy logic,analytical_technique,Computer Science,data science,fuzzy vikor
query mapping,concept,Computer Science,data science,query mapping
unstructured data,phenomenon_object,Computer Science,data science,unstructured data
big data integration,phenomenon_process,Computer Science,data science,big data integration
QR codes,phenomenon_object,Computer Science,data science,QR codes
information exchange,phenomenon_process,Computer Science,data science,information exchange
data model,phenomenon_object,Computer Science,data science,data model
data structure,phenomenon_object,Computer Science,data science,data structure
data visualization,phenomenon_process,Computer Science,data science,data visualization
bus encoding,phenomenon_process,Computer Science,data science,bus encoding
